#Front	Back
# https://www.azatliq.org/a/29934603.html
# инфинитив (основа; исем фигыль)	перевод глагола
булырга (бул; булу)	быть, бывать, иметься, становиться
дияргә (ди: дию)	сказать, говорить, называть
алырга (ал; алу)	брать, взять, получать
итәргә (ит; итү)	делать, сделать, поступать
эшләргә (эшлә; эшләү)	работать, действовать, делать
бирергә (бир; бирү)	давать, дать, подавать
килергә (кил; килү)	приходить, приезжать, подходить
барырга (бар; бару)	идти, пойти, ехать
әйтергә (әйт; әйтү)	говорить, сказать, сообщать
карарга (кара; карау)	смотреть, глядеть, осматривать
узарга (уз; узу)	проходить, проехать, миновать
күрергә (күр; күрү)	видеть, увидеть, замечать
куярга (куй; кую)	ставить, класть, вставить, назначить
үтәргә (үт; үтү)	проходить, проезжать, пройти
керергә (кер; керү)	зайти, заходить, пройти
чыгарга (чык; чыгу)	выйти, выходить
укырга (укы; уку)	читать, прочитать
торырга (тор; тору)	жить, проживать, встать, вставать
яшәргә (яшә; яшәү)	жить, поживать, существовать
кайтырга (кайт; кайту)	возвращаться, возвратиться, прибыть
белергә (бел; белү)	знать, уметь, быть в курсе
күрсәтергә (күрсәт; күрсәтү)	показывать, указывать, доказывать
ияргә (и; ию)	склонять, гнуть, нагибать, сгибать
ясарга (яса; ясау)	делать, изготовлять, устраивать
язарга (яз; язу)	писать, записать
башларга (башла; башлау)	начинать, приступать
катнашырга (катнаш; катнашу)	участвовать
калырга (кал; калу)	оставаться, доставаться, лишиться
табарга (тап; табу)	находить, обнаруживать, добывать
тотарга (тот; тоту)	держать, ловить, поймать, хватать
китәргә (кит; китү)	уходить, уезжать, начаться
үткәрергә (үткәр; үткәрү)	пропускать, проводить
җитәргә (җит; җитү)	достигать, достичь, добраться
чыгарырга (чыгар; чыгару)	выводить, выносить, вытаскивать
теләргә (телә; теләү)	желать, хотеть
оештырырга (оештыр; оештыру)	организовывать, устраивать
билгеләргә (билгелә; билгеләү)	отметить, определять
салырга (сал; салу)	положить, класть, налить
сөйләргә (сөйлә; сөйләү)	разговаривать, рассказывать
ачырга (ач; ачу)	открывать, отпирать
уйларга (уйла; уйлау)	думать, размышлять
кертергә (керт; кертү)	впускать, вносить, вводить, допускать
белдерергә (белдер; белдерү)	извещать, объявлять
җыярга (җый; җыю)	собирать, созывать, копить
танырга (таны; тану)	узнавать, признавать, познать
көтәргә (көт; көтү)	ждать, повременить
йөрергә (йөр; йөрү)	ходить, ездить
җибәрергә (җибәр; җибәрү)	отправлять, пускать
төшәргә (төш; төшү)	спускаться, снижаться, упасть
менәргә (мен; менү)	подниматься, залезать
китерергә (китер; китерү)	приносить, доставлять
әзерләргә (әзерлә; әзерләү)	готовить, подготовить
сакларга (сакла; саклау)	​хранить, беречь, охранять
күтәрергә (күтәр; күтәрү)	поднимать, повышать
башкарырга (башкар; башкару)	исполнять, совершить
яратырга (ярат; ярату)	любить, полюбить
ашарга (аша; ашау)	есть, кушать
кабул итәргә (кабул ит; кабул итү)	принимать, принять
тикшерергә (тикшер; тикшерү)	​проверять, исследовать
санарга (сана; санау)	считать, счесть
тәмамларга (тәмамла; тәмамлау)	​кончать, завершать
алып барырга (алып бар; алып бару)	нести, тащить, везти
тапшырырга (тапшыр; тапшыру)	передавать, вручать
басарга (бас; басу)	​давить, надавливать, месить
аңларга (аңла; аңлау)	понимать, постичь, разбираться
артырга (арт; арту)	увеличиваться, повышаться
тәкъдим итәргә (тәкъдим ит; тәкъдим итү)	предлагать
өйрәнергә (өйрән; өйрәнү)	изучать
түләргә (түлә; түләү)	платить
сорарга (сора; сорау)	спрашивать
тырышырг​а (тырыш; тырышу)	стараться
хәбәр итәргә (хәбәр ит; хәбәр итү)	сообщать
төзергә (төз; төзү)	строить, воздвигать
туры килергә (туры кил; туры килү)	совпадать, попадаться
чакырырга (чакыр; чакыру)	звать, вызывать, приглашать
сатарга (сат; сату)	продавать, сбыть
үсәргә (үс; үсү)	расти, вырастать, развиваться
утырырга (утыр; утыру)	садиться, сидеть
багышларга (багышла; багышлау)	посвящать, посвятить
калдырырга (калдыр; калдыру)	оставлять, перегнать, пропускать
дәвам итәргә (дәвам ит; дәвам итү)	продрлжать
туарга (ту; туу)	рождаться, возникать
кушарга (куш; кушу)	мешать, соединять, добавлять, приказывать
атарга (ата; атау)	называть, перечислять, звать
сайларга (сайла; сайлау)	выбирать, подобрать
ярдәм итәргә (ярдәм ит; ярдәм итү)	помогать
тартырга (тарт; тарту)	тянуть, тащить, дёргать, курить
уйнарга (уйна; уйнау)	играть, забавляться, разыграться
урнашырга (урнаш; урнашу)	располагаться, устраиваться
кылырга (кыл; кылу)	делать, совершать
ирешергә (ишер; ирешү)	достигать, добиваться
ишетергә (ишет; ишетү)	слышать
үләргә (үл; үлү)	умирать
кулланырга (куллан; куллану)	пользоваться, применять
сөйләшергә (сөйләш; сөйләшү)	говорить, разговаривать
тәэмин итәргә (тәэмин ит; тәэмин итү)	обеспечивать, гарантировать
җитештерергә (җитештер; җитештерү)	производить
җырларга (җырла; җырлау)	петь
эзләргә (эзлә; эзләү)	искать, разыскивать
укытырга (укыт; укыту)	обучать, преподавать
